,Unnamed: 0,Brand,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,RAM,Star_ratings,Users_rated,Price
55,55,Oppo,OPPO F19,Crystal Silver,256.0,4310.0,48,16,16.33,8.0,4.3,9194.0,22990.0
56,56,Oppo,OPPO F9,Stellar Purple,64.0,3500.0,16,16,16.0,4.0,4.5,40554.0,21990.0
57,57,Oppo,OPPO A5s,Blue,64.0,4230.0,13,8,15.75,4.0,4.4,41794.0,15990.0
58,58,Oppo,OPPO F21S,Dawnlight Gold,128.0,4500.0,64,2,16.33,8.0,4.1,97.0,21989.0
59,59,Oppo,OPPO A5s,Blue,32.0,4230.0,13,8,15.75,2.0,4.3,33996.0,12990.0
60,60,Oppo,OPPO A5s,Green,64.0,4230.0,13,8,15.75,4.0,4.4,41794.0,15990.0
61,61,Oppo,OPPO A5s,Black,64.0,4230.0,13,8,15.75,4.0,4.4,41794.0,15990.0
62,62,Oppo,OPPO A5,Mirror Black,64.0,5000.0,12,8,16.51,3.0,4.4,3046.0,14990.0
63,63,Oppo,OPPO A5s,Red,32.0,4230.0,13,8,15.75,2.0,4.3,33996.0,12990.0
64,64,Oppo,OPPO R17,Emerald Green,128.0,3700.0,12,25,16.26,8.0,4.2,552.0,49990.0
65,65,Oppo,OPPO F21s,Starlight Black,128.0,4500.0,64,2,16.33,8.0,4.1,97.0,21979.0
66,66,Oppo,OPPO Find,Bordeaux Red,256.0,3730.0,16,25,16.26,8.0,4.6,449.0,60990.0
67,67,Oppo,OPPO A77,Sunset Orange,128.0,5000.0,50,8,16.66,4.0,4.4,126.0,15999.0
68,68,Oppo,OPPO K1,Astral Blue,64.0,3600.0,16,25,16.28,4.0,4.5,75275.0,18990.0
69,69,Oppo,OPPO K1,Piano Black,64.0,3600.0,16,25,16.28,6.0,4.4,1774.0,20990.0
70,70,Oppo,OPPO A5,Diamond Blue,64.0,4230.0,13,8,15.75,4.0,4.4,14378.0,15990.0
71,71,Oppo,OPPO A7,Glaring Gold,64.0,4230.0,13,16,15.75,4.0,4.4,20843.0,18990.0
72,72,Oppo,OPPO A7,Glaze Blue,64.0,4230.0,13,16,15.75,4.0,4.4,20843.0,18990.0
73,73,Oppo,OPPO F11,Aurora Green,128.0,4000.0,48,16,16.51,6.0,4.5,128.0,29990.0
74,74,Oppo,OPPO F11,Thunder Black,64.0,4000.0,48,16,16.51,6.0,4.5,128.0,28990.0
